Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
2457,Adam Smith,eng ENG,DF,Bournemouth,eng Premier League,32.0,1991.0,23.9,782.0,1025.0,76.3,12722.0,5225.0,397.0,443.0,89.6,325.0,401.0,81.0,51.0,141.0,36.2,2.0,1.3,1.7,+0.7,17.0,58.0,23.0,17.0,89.0,Matches
2458,Emile Smith Rowe,eng ENG,MF,Arsenal,eng Premier League,23.0,2000.0,3.9,188.0,213.0,88.3,2449.0,496.0,128.0,143.0,89.5,54.0,57.0,94.7,1.0,4.0,25.0,1.0,0.2,0.4,+0.8,4.0,13.0,11.0,0.0,23.0,Matches
2459,Hrvoje Smolčić,hr CRO,DF,Eint Frankfurt,de Bundesliga,22.0,2000.0,3.9,285.0,321.0,88.8,5288.0,1981.0,87.0,102.0,85.3,172.0,181.0,95.0,21.0,32.0,65.6,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,14.0,Matches
2460,Cédric Soares,pt POR,DF,Arsenal,eng Premier League,31.0,1991.0,0.7,60.0,69.0,87.0,905.0,157.0,39.0,41.0,95.1,15.0,17.0,88.2,5.0,8.0,62.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,Matches
2461,Danilo Soares,br BRA,DF,Bochum,de Bundesliga,31.0,1991.0,3.9,124.0,179.0,69.3,2028.0,942.0,65.0,75.0,86.7,50.0,79.0,63.3,8.0,20.0,40.0,0.0,0.1,0.1,-0.1,3.0,12.0,3.0,0.0,15.0,Matches
2462,Eduard Sobol,ua UKR,DF,Strasbourg,fr Ligue 1,28.0,1995.0,0.3,8.0,13.0,61.5,128.0,55.0,3.0,3.0,100.0,5.0,7.0,71.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Matches
2463,Rubén Sobrino,es ESP,"MF,FW",Cádiz,es La Liga,31.0,1992.0,18.3,387.0,526.0,73.6,4945.0,1233.0,266.0,303.0,87.8,83.0,125.0,66.4,17.0,31.0,54.8,1.0,2.3,1.7,-1.3,22.0,31.0,8.0,3.0,34.0,Matches
2464,Andrea Sodero,it ITA,MF,Empoli,it Serie A,18.0,2004.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2465,Emran Soglo,eng ENG,"MF,DF",Marseille,fr Ligue 1,18.0,2005.0,1.2,31.0,39.0,79.5,442.0,90.0,21.0,24.0,87.5,9.0,11.0,81.8,1.0,2.0,50.0,1.0,0.2,0.0,+0.8,2.0,2.0,1.0,1.0,3.0,Matches
2466,Alex Sola,es ESP,"FW,MF",Alavés,es La Liga,24.0,1999.0,14.0,269.0,430.0,62.6,4680.0,1722.0,131.0,154.0,85.1,101.0,155.0,65.2,33.0,82.0,40.2,3.0,2.3,2.1,+0.7,27.0,23.0,19.0,9.0,42.0,Matches
2467,Alex Sola,es ESP,"DF,MF",Real Sociedad,es La Liga,24.0,1999.0,0.3,12.0,16.0,75.0,196.0,75.0,5.0,5.0,100.0,7.0,10.0,70.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Matches
2468,Dominic Solanke,eng ENG,FW,Bournemouth,eng Premier League,25.0,1997.0,36.9,400.0,544.0,73.5,5026.0,1387.0,262.0,315.0,83.2,93.0,127.0,73.2,11.0,18.0,61.1,3.0,3.0,2.0,0.0,39.0,32.0,24.0,3.0,60.0,Matches
2469,Ola Solbakken,no NOR,FW,Roma,it Serie A,24.0,1998.0,0.3,6.0,8.0,75.0,96.0,4.0,4.0,5.0,80.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches
2470,Carlos Soler,es ESP,"MF,DF",Paris S-G,fr Ligue 1,26.0,1997.0,12.1,670.0,782.0,85.7,10803.0,2917.0,322.0,356.0,90.4,265.0,299.0,88.6,50.0,72.0,69.4,2.0,2.4,1.9,-0.4,20.0,58.0,17.0,2.0,74.0,Matches
2471,Jhon Solis,co COL,MF,Girona,es La Liga,18.0,2004.0,4.3,191.0,225.0,84.9,2630.0,627.0,116.0,134.0,86.6,60.0,69.0,87.0,5.0,6.0,83.3,0.0,0.3,0.2,-0.3,3.0,21.0,2.0,0.0,22.0,Matches
2472,Manor Solomon,il ISR,FW,Tottenham,eng Premier League,24.0,1999.0,2.2,78.0,90.0,86.7,1105.0,196.0,45.0,48.0,93.8,28.0,35.0,80.0,3.0,4.0,75.0,2.0,0.8,0.8,+1.2,12.0,3.0,7.0,1.0,11.0,Matches
2473,Daniele Sommariva,it ITA,GK,Genoa,it Serie A,26.0,1997.0,0.1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2474,Yann Sommer,ch SUI,GK,Inter,it Serie A,34.0,1988.0,34.0,1078.0,1236.0,87.2,24756.0,15782.0,289.0,289.0,100.0,548.0,556.0,98.6,235.0,382.0,61.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,Matches
2475,Brandon Soppy,fr FRA,DF,Torino,it Serie A,21.0,2002.0,2.0,68.0,92.0,73.9,1009.0,330.0,38.0,42.0,90.5,22.0,32.0,68.8,5.0,9.0,55.6,0.0,0.1,0.1,-0.1,1.0,3.0,3.0,1.0,6.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,,,,,,,,,,,,,,,,,,,,,A-xAG,,,,,,Matches
2476,David Soria,es ESP,GK,Getafe,es La Liga,30.0,1993.0,37.9,687.0,1295.0,53.1,27570.0,24122.0,41.0,42.0,97.6,233.0,242.0,96.3,412.0,1004.0,41.0,0.0,0.0,0.1,0.0,0.0,44.0,1.0,0.0,0.0,Matches
2477,Alberto Soro,es ESP,MF,Granada,es La Liga,24.0,1999.0,0.1,3.0,3.0,100.0,21.0,9.0,3.0,3.0,100.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Matches
2478,Alessandro Sorrentino,it ITA,GK,Monza,it Serie A,21.0,2002.0,6.1,148.0,193.0,76.7,3731.0,2467.0,35.0,35.0,100.0,73.0,75.0,97.3,40.0,83.0,48.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches
2479,Borna Sosa,hr CRO,"FW,DF",Stuttgart,de Bundesliga,25.0,1998.0,0.5,27.0,43.0,62.8,481.0,122.0,16.0,17.0,94.1,7.0,13.0,53.8,4.0,11.0,36.4,0.0,0.3,0.1,-0.3,3.0,2.0,0.0,0.0,2.0,Matches
2480,Hugo Sotelo,es ESP,MF,Celta Vigo,es La Liga,19.0,2003.0,8.0,516.0,589.0,87.6,8503.0,2430.0,282.0,296.0,95.3,172.0,192.0,89.6,51.0,78.0,65.4,1.0,1.6,1.1,-0.6,15.0,53.0,6.0,1.0,55.0,Matches
2481,Florian Sotoca,fr FRA,"MF,FW",Lens,fr Ligue 1,32.0,1990.0,28.9,1071.0,1445.0,74.1,16456.0,4982.0,544.0,665.0,81.8,380.0,491.0,77.4,74.0,138.0,53.6,6.0,6.5,6.3,-0.5,52.0,102.0,57.0,20.0,156.0,Matches
2482,Riccardo Sottil,it ITA,FW,Fiorentina,it Serie A,24.0,1999.0,12.3,331.0,421.0,78.6,5471.0,827.0,161.0,184.0,87.5,142.0,167.0,85.0,20.0,35.0,57.1,3.0,2.5,2.4,+0.5,13.0,11.0,16.0,7.0,33.0,Matches
2483,Tomáš Souček,cz CZE,MF,West Ham,eng Premier League,28.0,1995.0,31.9,722.0,962.0,75.1,11368.0,3594.0,364.0,450.0,80.9,272.0,346.0,78.6,54.0,86.0,62.8,2.0,1.7,1.2,+0.3,20.0,80.0,8.0,2.0,86.0,Matches
2484,Matìas Soulé,ar ARG,"FW,MF",Frosinone,it Serie A,20.0,2003.0,34.7,1197.0,1535.0,78.0,18531.0,5372.0,654.0,749.0,87.3,411.0,521.0,78.9,89.0,163.0,54.6,3.0,6.6,5.3,-3.6,82.0,107.0,78.0,12.0,198.0,Matches
2485,Boubakary Soumaré,fr FRA,MF,Sevilla,es La Liga,24.0,1999.0,25.4,1109.0,1232.0,90.0,18261.0,4933.0,528.0,578.0,91.3,476.0,508.0,93.7,78.0,95.0,82.1,1.0,0.9,0.7,+0.1,8.0,115.0,3.0,1.0,102.0,Matches
2486,Issa Soumaré,sn SEN,"FW,MF",Le Havre,fr Ligue 1,22.0,2000.0,2.6,33.0,62.0,53.2,428.0,98.0,20.0,32.0,62.5,10.0,19.0,52.6,0.0,2.0,0.0,0.0,0.6,0.1,-0.6,3.0,1.0,0.0,0.0,4.0,Matches
2487,Vinicius Souza,br BRA,MF,Sheffield Utd,eng Premier League,24.0,1999.0,29.6,790.0,995.0,79.4,12856.0,3441.0,382.0,439.0,87.0,333.0,394.0,84.5,50.0,89.0,56.2,0.0,0.2,0.5,-0.2,4.0,60.0,5.0,1.0,66.0,Matches
2488,Djibril Sow,ch SUI,MF,Sevilla,es La Liga,26.0,1997.0,16.2,582.0,682.0,85.3,9552.0,1887.0,275.0,310.0,88.7,252.0,277.0,91.0,38.0,54.0,70.4,1.0,0.8,1.1,+0.2,15.0,57.0,7.0,2.0,73.0,Matches
2489,Saidou Sow,gn GUI,DF,Strasbourg,fr Ligue 1,21.0,2002.0,8.0,301.0,353.0,85.3,5779.0,1946.0,98.0,108.0,90.7,175.0,186.0,94.1,23.0,50.0,46.0,1.0,0.5,0.4,+0.5,2.0,24.0,3.0,0.0,24.0,Matches
2490,Çağlar Söyüncü,tr TUR,DF,Atlético Madrid,es La Liga,27.0,1996.0,1.3,71.0,81.0,87.7,1249.0,407.0,29.0,31.0,93.5,39.0,43.0,90.7,2.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,6.0,Matches
2491,Djed Spence,eng ENG,DF,Genoa,it Serie A,22.0,2000.0,9.5,272.0,342.0,79.5,4216.0,1253.0,148.0,166.0,89.2,93.0,127.0,73.2,19.0,29.0,65.5,0.0,0.3,0.4,-0.3,6.0,17.0,9.0,6.0,25.0,Matches
2492,Stijn Spierings,nl NED,MF,Toulouse,fr Ligue 1,27.0,1996.0,16.8,944.0,1089.0,86.7,16872.0,5521.0,412.0,455.0,90.5,397.0,434.0,91.5,105.0,146.0,71.9,1.0,0.6,1.0,+0.4,14.0,144.0,8.0,0.0,157.0,Matches
2493,Stijn Spierings,nl NED,MF,Lens,fr Ligue 1,27.0,1996.0,1.3,50.0,59.0,84.7,889.0,305.0,22.0,27.0,81.5,22.0,24.0,91.7,4.0,5.0,80.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,9.0,Matches
2494,Leonardo Spinazzola,it ITA,DF,Roma,it Serie A,30.0,1993.0,14.6,663.0,849.0,78.1,11631.0,3209.0,300.0,333.0,90.1,299.0,373.0,80.2,56.0,102.0,54.9,2.0,3.0,3.1,-1.0,27.0,32.0,48.0,21.0,52.0,Matches
2495,Marco Sportiello,it ITA,GK,Milan,it Serie A,31.0,1992.0,7.0,213.0,247.0,86.2,4909.0,3500.0,56.0,56.0,100.0,116.0,118.0,98.3,41.0,73.0,56.2,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,Matches
2496,Anton Stach,de GER,MF,Hoffenheim,de Bundesliga,24.0,1998.0,25.8,1031.0,1309.0,78.8,16987.0,4924.0,527.0,603.0,87.4,396.0,476.0,83.2,83.0,164.0,50.6,3.0,3.5,2.5,-0.5,19.0,115.0,22.0,3.0,143.0,Matches
2497,Anton Stach,de GER,MF,Mainz 05,de Bundesliga,24.0,1998.0,1.9,43.0,68.0,63.2,639.0,168.0,26.0,37.0,70.3,12.0,20.0,60.0,3.0,7.0,42.9,0.0,0.1,0.1,-0.1,2.0,7.0,1.0,0.0,8.0,Matches
2498,Jens Stage,dk DEN,MF,Werder Bremen,de Bundesliga,26.0,1996.0,25.9,775.0,1042.0,74.4,12813.0,4152.0,383.0,491.0,78.0,332.0,414.0,80.2,50.0,86.0,58.1,1.0,1.9,1.8,-0.9,25.0,68.0,18.0,3.0,85.0,Matches
2499,Benjamin Stambouli,fr FRA,MF,Reims,fr Ligue 1,32.0,1990.0,3.2,95.0,130.0,73.1,1740.0,636.0,32.0,47.0,68.1,51.0,58.0,87.9,8.0,18.0,44.4,1.0,0.1,0.3,+0.9,3.0,10.0,3.0,2.0,8.0,Matches
2500,Josip Stanišić,hr CRO,DF,Leverkusen,de Bundesliga,23.0,2000.0,14.0,961.0,1077.0,89.2,14733.0,4167.0,564.0,593.0,95.1,316.0,349.0,90.5,63.0,93.0,67.7,1.0,1.7,1.7,-0.7,11.0,88.0,20.0,4.0,92.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,,,,,,,,,,,,,,,,,,,,,A-xAG,,,,,,Matches
2501,Carl Starfelt,se SWE,DF,Celta Vigo,es La Liga,28.0,1995.0,24.6,907.0,1035.0,87.6,16597.0,6106.0,334.0,368.0,90.8,508.0,551.0,92.2,56.0,93.0,60.2,0.0,0.2,0.1,-0.2,2.0,31.0,1.0,0.0,38.0,Matches
2502,Niklas Stark,de GER,DF,Werder Bremen,de Bundesliga,28.0,1995.0,12.1,475.0,595.0,79.8,9883.0,4445.0,138.0,167.0,82.6,262.0,290.0,90.3,73.0,124.0,58.9,0.0,0.0,0.2,0.0,0.0,32.0,3.0,0.0,37.0,Matches
2503,Jason Steele,eng ENG,GK,Brighton,eng Premier League,32.0,1990.0,17.0,570.0,673.0,84.7,12217.0,8275.0,185.0,186.0,99.5,265.0,270.0,98.1,111.0,206.0,53.9,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,Matches
2504,Pascal Stenzel,de GER,DF,Stuttgart,de Bundesliga,27.0,1996.0,11.8,715.0,824.0,86.8,13536.0,3889.0,304.0,330.0,92.1,293.0,327.0,89.6,104.0,134.0,77.6,5.0,3.2,2.4,+1.8,15.0,66.0,25.0,8.0,85.0,Matches
2505,Leonidas Stergiou,ch SUI,DF,Stuttgart,de Bundesliga,21.0,2002.0,6.6,308.0,364.0,84.6,4390.0,1434.0,185.0,203.0,91.1,107.0,123.0,87.0,9.0,21.0,42.9,0.0,0.4,0.9,-0.4,5.0,18.0,7.0,5.0,17.0,Matches
2506,Raheem Sterling,eng ENG,"FW,MF",Chelsea,eng Premier League,28.0,1994.0,22.0,538.0,728.0,73.9,7091.0,1775.0,363.0,428.0,84.8,135.0,191.0,70.7,18.0,33.0,54.5,4.0,4.5,4.3,-0.5,30.0,31.0,35.0,7.0,78.0,Matches
2507,Trivante Stewart,jm JAM,"FW,MF",Salernitana,it Serie A,23.0,2000.0,1.1,18.0,27.0,66.7,266.0,20.0,12.0,13.0,92.3,5.0,8.0,62.5,1.0,2.0,50.0,0.0,0.1,0.0,-0.1,1.0,0.0,0.0,0.0,0.0,Matches
2508,Angelo Stiller,de GER,MF,Hoffenheim,de Bundesliga,22.0,2001.0,0.9,36.0,43.0,83.7,683.0,273.0,17.0,19.0,89.5,13.0,13.0,100.0,5.0,7.0,71.4,0.0,0.0,0.1,0.0,1.0,7.0,1.0,1.0,7.0,Matches
2509,Angelo Stiller,de GER,MF,Stuttgart,de Bundesliga,22.0,2001.0,29.9,2346.0,2637.0,89.0,37536.0,11544.0,1147.0,1231.0,93.2,981.0,1047.0,93.7,141.0,243.0,58.0,5.0,5.1,5.4,-0.1,51.0,229.0,29.0,6.0,220.0,Matches
2510,Kevin Stöger,at AUT,MF,Bochum,de Bundesliga,29.0,1993.0,29.6,1363.0,2028.0,67.2,25253.0,10738.0,604.0,760.0,79.5,508.0,711.0,71.4,208.0,415.0,50.1,10.0,9.9,9.8,+0.1,127.0,195.0,76.0,25.0,283.0,Matches
2511,Filip Stojilković,ch SUI,"FW,MF",Darmstadt 98,de Bundesliga,23.0,2000.0,1.7,10.0,21.0,47.6,176.0,45.0,3.0,8.0,37.5,7.0,12.0,58.3,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,Matches
2512,John Stones,eng ENG,"DF,MF",Manchester City,eng Premier League,29.0,1994.0,11.8,781.0,839.0,93.1,12375.0,2872.0,402.0,426.0,94.4,322.0,335.0,96.1,41.0,54.0,75.9,0.0,0.2,0.4,-0.2,6.0,53.0,1.0,0.0,57.0,Matches
2513,Thomas Strakosha,al ALB,GK,Brentford,eng Premier League,28.0,1995.0,1.5,52.0,71.0,73.2,1509.0,977.0,6.0,6.0,100.0,27.0,28.0,96.4,19.0,37.0,51.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches
2514,Jørgen Strand Larsen,no NOR,FW,Celta Vigo,es La Liga,23.0,2000.0,31.8,423.0,618.0,68.4,5082.0,766.0,286.0,370.0,77.3,85.0,132.0,64.4,15.0,23.0,65.2,3.0,2.5,2.1,+0.5,24.0,21.0,15.0,3.0,25.0,Matches
2515,Gabriel Strefezza,br BRA,FW,Lecce,it Serie A,26.0,1997.0,12.4,300.0,412.0,72.8,5197.0,1463.0,151.0,174.0,86.8,103.0,137.0,75.2,37.0,70.0,52.9,0.0,1.2,1.3,-1.2,20.0,34.0,20.0,7.0,54.0,Matches
2516,Kevin Strootman,nl NED,MF,Genoa,it Serie A,33.0,1990.0,13.4,550.0,670.0,82.1,8923.0,2778.0,267.0,310.0,86.1,218.0,249.0,87.6,40.0,69.0,58.0,2.0,1.3,2.2,+0.7,22.0,47.0,10.0,5.0,61.0,Matches
2517,Cristhian Stuani,uy URU,FW,Girona,es La Liga,36.0,1986.0,8.9,84.0,115.0,73.0,1007.0,130.0,53.0,68.0,77.9,21.0,28.0,75.0,2.0,5.0,40.0,3.0,1.9,0.5,+1.1,10.0,0.0,1.0,0.0,5.0,Matches
2518,Álex Suárez,es ESP,DF,Las Palmas,es La Liga,30.0,1993.0,28.5,1396.0,1613.0,86.5,23196.0,9326.0,680.0,733.0,92.8,580.0,649.0,89.4,96.0,169.0,56.8,0.0,0.2,0.6,-0.2,6.0,102.0,8.0,3.0,109.0,Matches
2519,Damián Suárez,uy URU,DF,Getafe,es La Liga,35.0,1988.0,14.4,436.0,638.0,68.3,7921.0,3538.0,221.0,256.0,86.3,151.0,212.0,71.2,56.0,135.0,41.5,2.0,0.8,1.1,+1.2,17.0,50.0,13.0,8.0,58.0,Matches
2520,Denis Suárez,es ESP,"MF,FW",Villarreal,es La Liga,29.0,1994.0,1.5,79.0,94.0,84.0,1324.0,518.0,38.0,43.0,88.4,34.0,38.0,89.5,5.0,8.0,62.5,0.0,0.3,0.6,-0.3,3.0,11.0,2.0,1.0,13.0,Matches
2521,Gabriel Suazo,cl CHI,DF,Toulouse,fr Ligue 1,25.0,1997.0,26.2,1163.0,1482.0,78.5,18986.0,6659.0,566.0,644.0,87.9,491.0,614.0,80.0,79.0,149.0,53.0,4.0,3.0,4.1,+1.0,43.0,72.0,45.0,11.0,114.0,Matches
2522,Isaac Success,ng NGA,"FW,MF",Udinese,it Serie A,27.0,1996.0,9.8,130.0,204.0,63.7,1955.0,467.0,76.0,111.0,68.5,35.0,47.0,74.5,11.0,21.0,52.4,1.0,1.1,0.6,-0.1,11.0,16.0,4.0,0.0,17.0,Matches
2523,Niklas Süle,de GER,DF,Dortmund,de Bundesliga,27.0,1995.0,16.8,1401.0,1505.0,93.1,26854.0,8405.0,497.0,519.0,95.8,741.0,780.0,95.0,149.0,180.0,82.8,0.0,0.2,0.6,-0.2,5.0,77.0,6.0,1.0,83.0,Matches
2524,Ibrahim Sulemana,gh GHA,MF,Cagliari,it Serie A,20.0,2003.0,14.9,361.0,452.0,79.9,6464.0,1260.0,163.0,184.0,88.6,151.0,172.0,87.8,42.0,72.0,58.3,0.0,0.1,0.2,-0.1,4.0,30.0,2.0,2.0,27.0,Matches
2525,Tomáš Suslov,sk SVK,"MF,FW",Hellas Verona,it Serie A,21.0,2002.0,23.2,416.0,573.0,72.6,8181.0,2111.0,155.0,185.0,83.8,176.0,210.0,83.8,70.0,127.0,55.1,5.0,3.6,2.5,+1.4,28.0,40.0,22.0,6.0,64.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,,,,,,,,,,,,,,,,,,,,,A-xAG,,,,,,Matches
2526,Suso,es ESP,"MF,FW",Sevilla,es La Liga,29.0,1993.0,16.9,702.0,907.0,77.4,12150.0,3958.0,367.0,406.0,90.4,227.0,285.0,79.6,91.0,158.0,57.6,4.0,3.9,4.9,+0.1,42.0,74.0,38.0,14.0,110.0,Matches
2527,Mattias Svanberg,se SWE,MF,Wolfsburg,de Bundesliga,24.0,1999.0,19.1,574.0,807.0,71.1,8980.0,2918.0,306.0,369.0,82.9,204.0,270.0,75.6,38.0,104.0,36.5,3.0,2.3,2.5,+0.7,26.0,59.0,16.0,2.0,84.0,Matches
2528,Max Svensson,es ESP,FW,Osasuna,es La Liga,100.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2529,Mile Svilar,rs SRB,GK,Roma,it Serie A,23.0,1999.0,15.0,526.0,605.0,86.9,11527.0,7333.0,143.0,143.0,100.0,297.0,300.0,99.0,85.0,161.0,52.8,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,Matches
2530,Williot Swedberg,se SWE,"FW,MF",Celta Vigo,es La Liga,19.0,2004.0,4.9,80.0,108.0,74.1,1055.0,244.0,45.0,56.0,80.4,21.0,28.0,75.0,4.0,6.0,66.7,0.0,0.2,0.7,-0.2,3.0,7.0,3.0,1.0,6.0,Matches
2531,Karol Świderski,pl POL,"FW,MF",Hellas Verona,it Serie A,26.0,1997.0,5.6,84.0,120.0,70.0,1154.0,281.0,45.0,55.0,81.8,30.0,41.0,73.2,2.0,5.0,40.0,0.0,0.4,0.6,-0.4,8.0,5.0,4.0,1.0,13.0,Matches
2532,Abakar Sylla,ci CIV,DF,Strasbourg,fr Ligue 1,20.0,2002.0,19.9,1111.0,1266.0,87.8,19769.0,6698.0,436.0,473.0,92.2,567.0,618.0,91.7,81.0,139.0,58.3,0.0,0.5,0.2,-0.5,5.0,52.0,4.0,0.0,72.0,Matches
2533,Dembo Sylla,gn GUI,DF,Lorient,fr Ligue 1,20.0,2002.0,0.5,19.0,22.0,86.4,378.0,24.0,9.0,9.0,100.0,7.0,8.0,87.5,3.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Matches
2534,Issiaga Sylla,gn GUI,"DF,FW",Montpellier,fr Ligue 1,29.0,1994.0,16.2,528.0,719.0,73.4,9051.0,3985.0,242.0,300.0,80.7,218.0,271.0,80.4,51.0,108.0,47.2,2.0,1.7,1.0,+0.3,16.0,34.0,10.0,7.0,43.0,Matches
2535,Mamadou Sylla,sn SEN,"FW,MF",Alavés,es La Liga,29.0,1994.0,0.2,3.0,7.0,42.9,64.0,6.0,1.0,4.0,25.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Matches
2536,Attila Szalai,hu HUN,DF,Hoffenheim,de Bundesliga,25.0,1998.0,3.2,131.0,178.0,73.6,2249.0,1119.0,53.0,62.0,85.5,63.0,77.0,81.8,10.0,30.0,33.3,0.0,0.5,0.8,-0.5,2.0,10.0,2.0,1.0,13.0,Matches
2537,Attila Szalai,hu HUN,DF,Freiburg,de Bundesliga,25.0,1998.0,1.1,58.0,72.0,80.6,1064.0,580.0,20.0,23.0,87.0,33.0,39.0,84.6,4.0,8.0,50.0,0.0,0.1,0.2,-0.1,1.0,2.0,1.0,0.0,5.0,Matches
2538,Wojciech Szczęsny,pl POL,GK,Juventus,it Serie A,33.0,1990.0,35.0,780.0,1006.0,77.5,22098.0,15358.0,121.0,122.0,99.2,389.0,394.0,98.7,270.0,486.0,55.6,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,Matches
2539,Dominik Szoboszlai,hu HUN,MF,Liverpool,eng Premier League,22.0,2000.0,23.4,1280.0,1550.0,82.6,20367.0,4929.0,694.0,777.0,89.3,441.0,507.0,87.0,98.0,169.0,58.0,2.0,5.8,5.1,-3.8,56.0,98.0,33.0,6.0,152.0,Matches
2540,Przemysław Szymiński,pl POL,MF,Frosinone,it Serie A,29.0,1994.0,0.1,1.0,2.0,50.0,9.0,10.0,1.0,1.0,100.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2541,Alexander Sørloth,no NOR,FW,Villarreal,es La Liga,27.0,1995.0,27.7,357.0,476.0,75.0,4827.0,666.0,228.0,271.0,84.1,107.0,142.0,75.4,11.0,20.0,55.0,6.0,4.4,3.0,+1.6,34.0,19.0,15.0,1.0,40.0,Matches
2542,Musa Al-Taamari,jo JOR,FW,Montpellier,fr Ligue 1,26.0,1997.0,21.4,402.0,553.0,72.7,5492.0,1444.0,233.0,290.0,80.3,119.0,158.0,75.3,16.0,26.0,61.5,2.0,3.5,2.0,-1.5,20.0,21.0,28.0,0.0,54.0,Matches
2543,Nicolás Tagliafico,ar ARG,DF,Lyon,fr Ligue 1,30.0,1992.0,23.6,999.0,1175.0,85.0,15340.0,5299.0,513.0,565.0,90.8,398.0,455.0,87.5,52.0,87.0,59.8,1.0,1.0,1.7,0.0,18.0,82.0,20.0,5.0,105.0,Matches
2544,Jonathan Tah,de GER,DF,Leverkusen,de Bundesliga,27.0,1996.0,29.2,2070.0,2193.0,94.4,32998.0,13638.0,1045.0,1077.0,97.0,908.0,962.0,94.4,89.0,110.0,80.9,1.0,0.3,0.9,+0.7,5.0,164.0,1.0,0.0,133.0,Matches
2545,Montassar Talbi,tn TUN,DF,Lorient,fr Ligue 1,25.0,1998.0,24.5,1008.0,1188.0,84.8,18865.0,7775.0,332.0,365.0,91.0,575.0,619.0,92.9,84.0,174.0,48.3,0.0,0.2,0.5,-0.2,7.0,77.0,7.0,0.0,88.0,Matches
2546,Yassin Tallal,es ESP,FW,Getafe,es La Liga,18.0,2005.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2547,Adrien Tameze,cm CMR,"DF,MF",Torino,it Serie A,29.0,1994.0,23.8,1106.0,1276.0,86.7,18937.0,5466.0,462.0,506.0,91.3,549.0,605.0,90.7,68.0,101.0,67.3,2.0,2.2,1.2,-0.2,19.0,81.0,10.0,3.0,90.0,Matches
2548,Renato Tapia,pe PER,"MF,DF",Celta Vigo,es La Liga,28.0,1995.0,14.9,541.0,715.0,75.7,9909.0,3901.0,249.0,283.0,88.0,200.0,247.0,81.0,77.0,141.0,54.6,0.0,0.6,0.7,-0.6,7.0,64.0,11.0,2.0,61.0,Matches
2549,Edmond Tapsoba,bf BFA,DF,Leverkusen,de Bundesliga,24.0,1999.0,23.2,1795.0,1973.0,91.0,29578.0,12526.0,878.0,930.0,94.4,758.0,813.0,93.2,118.0,167.0,70.7,1.0,1.0,1.4,0.0,9.0,193.0,8.0,0.0,164.0,Matches
