Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
174,Srđan Babić,rs SRB,DF,Almería,es La Liga,27.0,1996.0,1.0,58.0,62.0,93.5,1267.0,388.0,13.0,13.0,100.0,37.0,41.0,90.2,8.0,8.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,Matches
175,Shavy Babicka,ga GAB,"FW,MF",Toulouse,fr Ligue 1,23.0,2000.0,4.1,77.0,127.0,60.6,1188.0,236.0,41.0,58.0,70.7,27.0,45.0,60.0,5.0,6.0,83.3,0.0,0.1,0.4,-0.1,2.0,3.0,7.0,3.0,8.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,,,,,,,,,,,,,,,,,,,,,A-xAG,,,,,,Matches
176,Aliou Badara Baldé,gn GUI,"FW,DF",Nice,fr Ligue 1,20.0,2002.0,0.8,15.0,30.0,50.0,183.0,33.0,12.0,17.0,70.6,2.0,9.0,22.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Matches
177,Loïc Bade,fr FRA,DF,Sevilla,es La Liga,23.0,2000.0,25.3,1113.0,1346.0,82.7,21547.0,8244.0,373.0,411.0,90.8,623.0,701.0,88.9,106.0,199.0,53.3,1.0,0.5,0.5,+0.5,9.0,79.0,1.0,0.0,76.0,Matches
178,Milan Badelj,hr CRO,MF,Genoa,it Serie A,34.0,1989.0,28.2,1136.0,1407.0,80.7,19451.0,6788.0,504.0,579.0,87.0,474.0,547.0,86.7,110.0,189.0,58.2,3.0,1.1,1.4,+1.9,18.0,140.0,23.0,4.0,151.0,Matches
179,Matthias Bader,de GER,"DF,MF",Darmstadt 98,de Bundesliga,26.0,1997.0,20.0,687.0,912.0,75.3,12501.0,4100.0,280.0,323.0,86.7,330.0,394.0,83.8,67.0,137.0,48.9,2.0,2.3,3.5,-0.3,18.0,38.0,22.0,6.0,67.0,Matches
180,Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,22.0,2001.0,14.9,1065.0,1173.0,90.8,18737.0,7087.0,442.0,463.0,95.5,543.0,584.0,93.0,71.0,106.0,67.0,1.0,1.5,0.9,-0.5,6.0,48.0,4.0,0.0,46.0,Matches
181,Alex Baena,es ESP,"MF,FW",Villarreal,es La Liga,22.0,2001.0,28.7,893.0,1255.0,71.2,16899.0,5861.0,394.0,460.0,85.7,351.0,467.0,75.2,129.0,244.0,52.9,14.0,9.2,9.5,+4.8,83.0,95.0,59.0,15.0,165.0,Matches
182,Jaime Báez,uy URU,"FW,MF",Frosinone,it Serie A,28.0,1995.0,5.6,141.0,202.0,69.8,2309.0,920.0,68.0,87.0,78.2,50.0,64.0,78.1,16.0,33.0,48.5,0.0,0.5,0.8,-0.5,8.0,12.0,9.0,0.0,29.0,Matches
183,Nicola Bagnolini,it ITA,GK,Bologna,it Serie A,19.0,2004.0,0.1,2.0,3.0,66.7,106.0,82.0,1.0,1.0,100.0,0.0,0.0,,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
184,Leon Bailey,jm JAM,"MF,FW",Aston Villa,eng Premier League,25.0,1997.0,23.0,573.0,790.0,72.5,8993.0,2559.0,327.0,391.0,83.6,184.0,242.0,76.0,48.0,82.0,58.5,9.0,9.2,7.3,-0.2,52.0,38.0,51.0,7.0,82.0,Matches
185,Eric Bailly,ci CIV,DF,Villarreal,es La Liga,29.0,1994.0,9.3,337.0,385.0,87.5,6283.0,2551.0,112.0,123.0,91.1,191.0,210.0,91.0,29.0,41.0,70.7,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,18.0,Matches
186,Stefan Bajcetic,es ESP,MF,Liverpool,eng Premier League,18.0,2004.0,0.3,7.0,10.0,70.0,101.0,44.0,3.0,3.0,100.0,4.0,6.0,66.7,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Matches
187,Nedim Bajrami,al ALB,"MF,FW",Sassuolo,it Serie A,24.0,1999.0,14.6,330.0,460.0,71.7,5347.0,1538.0,154.0,186.0,82.8,134.0,174.0,77.0,25.0,63.0,39.7,2.0,2.2,1.6,-0.2,22.0,16.0,15.0,2.0,49.0,Matches
188,Cédric Bakambu,cd COD,FW,Betis,es La Liga,32.0,1991.0,2.2,26.0,39.0,66.7,277.0,58.0,14.0,20.0,70.0,7.0,12.0,58.3,0.0,0.0,,0.0,0.3,0.4,-0.3,3.0,1.0,0.0,0.0,4.0,Matches
189,Tiemoué Bakayoko,fr FRA,MF,Lorient,fr Ligue 1,28.0,1994.0,14.6,550.0,637.0,86.3,9243.0,2584.0,251.0,282.0,89.0,240.0,270.0,88.9,42.0,50.0,84.0,1.0,0.5,0.3,+0.5,4.0,55.0,2.0,0.0,54.0,Matches
190,Mitchel Bakker,nl NED,DF,Atalanta,it Serie A,23.0,2000.0,4.2,167.0,212.0,78.8,2347.0,433.0,105.0,117.0,89.7,51.0,62.0,82.3,6.0,16.0,37.5,0.0,0.1,0.1,-0.1,3.0,9.0,0.0,0.0,10.0,Matches
191,Ridle Baku,de GER,"DF,MF",Wolfsburg,de Bundesliga,25.0,1998.0,22.4,789.0,1048.0,75.3,12508.0,3955.0,408.0,475.0,85.9,306.0,403.0,75.9,58.0,115.0,50.4,0.0,3.0,3.5,-3.0,29.0,46.0,26.0,10.0,85.0,Matches
192,Dilane Bakwa,fr FRA,"FW,MF",Strasbourg,fr Ligue 1,20.0,2002.0,24.2,587.0,862.0,68.1,10108.0,3121.0,282.0,345.0,81.7,214.0,299.0,71.6,64.0,153.0,41.8,6.0,6.2,4.6,-0.2,49.0,50.0,36.0,10.0,92.0,Matches
193,Tommaso Baldanzi,it ITA,"MF,FW",Empoli,it Serie A,20.0,2003.0,8.3,201.0,257.0,78.2,3075.0,751.0,102.0,119.0,85.7,70.0,86.0,81.4,15.0,22.0,68.2,0.0,1.0,0.8,-1.0,13.0,12.0,11.0,3.0,30.0,Matches
194,Tommaso Baldanzi,it ITA,"FW,MF",Roma,it Serie A,20.0,2003.0,5.8,175.0,205.0,85.4,2356.0,434.0,111.0,124.0,89.5,57.0,66.0,86.4,3.0,7.0,42.9,0.0,0.7,0.7,-0.7,4.0,16.0,6.0,3.0,14.0,Matches
